station_id,name,owner,deployment_notes,has_realtime2,has_fiveday2,no_recent_data,preferred_data_source
0Y2W3,"Station 0Y2W3  - Sturgeon Bay CG Station, WI",Unknown,No deployment notes found,False,False,True,none
13001,Station 13001  - NE Extension,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
12.000 N 23.000 W (12°0'0"" N 23°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
12.000 N 23.000 W (12°0'0"" N 23°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
13002,Station 13002  - NE Extension,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
21.000 N 23.000 W (21°0'0"" N 23°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
21.000 N 23.000 W (21°0'0"" N 23°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
13008,Station 13008  - Reggae,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
15.000 N 38.000 W (15°0'0"" N 38°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
15.000 N 38.000 W (15°0'0"" N 38°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",True,True,False,realtime2
13009,Station 13009  - Lambada,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
8.000 N 38.000 W (8°0'0"" N 38°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
8.000 N 38.000 W (8°0'0"" N 38°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
13010,Station 13010  - Soul,"the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
0.000 N 0.000 E (0°0'0"" N 0°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  PIRATA Prediction and Research Moored Array in the Atlantic
Atlas Buoy
0.000 N 0.000 E (0°0'0"" N 0°0'0"" W)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
14040,Station 14040,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 S 67.000 E (8°0'0"" S 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 S 67.000 E (8°0'0"" S 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
14041,Station 14041,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 S 55.000 E (8°0'0"" S 55°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
8.000 S 55.000 E (8°0'0"" S 55°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
14043,Station 14043,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
12.000 S 67.000 E (12°0'0"" S 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
12.000 S 67.000 E (12°0'0"" S 67°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
14047,Station 14047,"the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 S 57.000 E (4°0'0"" S 57°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level","Owned and maintained by the  RAMA Research Moored Array for African-Asian-Australian Monsoon Analysis and Prediction
Atlas Buoy
4.000 S 57.000 E (4°0'0"" S 57°0'0"" E)

Site elevation: sea level
Air temp height: 3 m above site elevation
Anemometer height: 4 m above site elevation
Barometer elevation: 3 m above mean sea level",False,False,True,none
