owner,preferred_data_source,station_count
"Australian Bureau of Meteorology
2.6-meter discus buoy
DART II payload
46.665 S 161.001 E (46°39'55"" S 161°0'5"" E)

Water depth: 4920 m",none,1
"Australian Bureau of Meteorology
2.6-meter discus buoy
DART II payload
46.922 S 160.562 E (46°55'20"" S 160°33'44"" E)",none,1
"Australian Bureau of Meteorology
ETD
ETD payload
11.445 S 113.607 E (11°26'42"" S 113°36'25"" E)

Water depth: 4612 m",none,1
"Australian Bureau of Meteorology
ETD
ETD payload
14.715 S 153.537 E (14°42'53"" S 153°32'14"" E)

Water depth: 4595 m",none,1
"Australian Bureau of Meteorology
ETD
ETD payload
15.664 S 158.453 E (15°39'51"" S 158°27'10"" E)

Water depth: 3254 m",none,1
"Australian Bureau of Meteorology
ETD
ETD payload
26.000 S 176.000 E (26°0'0"" S 176°0'0"" E)",none,1
"Australian Bureau of Meteorology
STB - SAIC Tsunami Buoy
DART II payload
14.046 S 110.028 E (14°2'46"" S 110°1'39"" E)

Water depth: 5633 m",none,1
"Australian Bureau of Meteorology
STB - SAIC Tsunami Buoy
SAIC Tsunami Buoy (STB) with DART II BPR
46.956 S 160.343 E (46°57'22"" S 160°20'35"" E)

Water depth: 4988.5 m",none,1
"Australian Bureau of Meteorology
STB - SAIC Tsunami Buoy
STB payload
15.019 S 118.073 E (15°1'9"" S 118°4'22"" E)

Water depth: 5658.5 m",none,1
"Australian Bureau of Meteorology
STB - SAIC Tsunami Buoy
STB payload
44.790 S 161.700 E (44°47'24"" S 161°42'0"" E)

Water depth: 4816.6 m",none,1
"COMPS (University of South Florida)
Offshore Buoy
25.171 N 83.475 W (25°10'16"" N 83°28'30"" W)

Site elevation: sea level
Air temp height: 2.8 m above site elevation
Anemometer height: 3.2 m above site elevation
Barometer elevation: 2.8 m above mean sea level
Sea temp depth: 1 m below water line
Water depth: 70 m",realtime2,1
"COMPS (University of South Florida)
Offshore Buoy
25.254 N 82.220 W (25°15'16"" N 82°13'11"" W)

Site elevation: sea level
Air temp height: 1 m above site elevation
Anemometer height: 2.8 m above site elevation
Barometer elevation: 1.2 m above mean sea level
Water depth: 50 m",none,1
